Trial,Dec_Latency_ns,Dec_RAM_Bytes,CPU_Percent,Dec_Throughput_bps
258,39080979,34627584,101.1,1073235550.21
259,39109072,34627584,101.1,1072464618.95
260,39067905,34627584,101.2,1073594706.45
261,39469940,34627584,100.2,1062659228.77
262,39336608,34627584,100.5,1066261127.55
263,39493125,34627584,100.1,1062035379.58
264,39405737,34627584,125.3,1064390598.76
265,38980887,34627584,101.4,1075991318.51
266,38929573,34627584,76.1,1077409608.37
267,39014647,34627584,101.3,1075060245.96
268,39005979,34627584,101.3,1075299148.37
269,39087184,34627584,101.1,1073065176.56
270,39085294,34627584,101.1,1073117065.46
271,38940962,34627584,101.5,1077094500.13
272,39163756,34627584,100.9,1070967146.26
273,39049905,34627584,101.2,1074089578.45
274,39109368,34627584,101.1,1072456501.98
275,39225923,34627584,100.8,1069269829.55
276,39056053,34627584,101.2,1073920500.88
277,39219720,34627584,100.8,1069438945.51
278,39138923,34627584,101.0,1071646657.22
279,39007091,34627584,101.3,1075268494.13
280,39180313,34627584,100.9,1070514571.95
281,39136164,34627584,101.0,1071722205.58
282,39011721,34631680,100.6,1075140878.81
283,38965980,34631680,101.4,1076402954.58
284,39061220,34631680,101.2,1073778443.17
285,38965017,34631680,101.4,1076429557.31
286,39002462,34631680,101.3,1075396112.17
287,38977720,34631680,76.0,1076078744.47
288,38995924,34631680,101.4,1075576411.52
289,38943351,34631680,101.5,1077028425.21
290,38979091,34631680,101.4,1076040895.87
291,39024017,34631680,101.2,1074802114.81
292,38908036,34631680,101.6,1078005993.41
293,38959776,34631680,101.5,1076574362.23
294,39088720,34631680,101.1,1073023010.22
295,39038628,34631680,101.2,1074399848.27
296,39199590,34631680,100.8,1069988129.98
297,39139942,34631680,101.0,1071618757.13
298,39187719,34631680,100.8,1070312257.78
299,38916758,34631680,101.4,1077764391.37
300,39127165,34631680,100.9,1071968694.90
301,39873217,34631680,99.2,1051911512.43
302,39211627,34631680,100.7,1069659670.08
303,39253831,34631680,100.7,1068509618.84
304,39001350,34631680,101.3,1075426773.69
305,39043294,34631680,101.2,1074271448.51
306,39030128,34631680,101.3,1074633831.59
307,39191127,34631680,100.8,1070219185.07
308,38973277,34631680,76.1,1076201418.73
309,39014443,34631680,101.3,1075065867.27
310,38998628,34635776,101.4,1075501835.60
311,39173220,34635776,100.7,1070708407.43
312,39101294,34635776,101.1,1072677952.81
313,38964628,34635776,101.4,1076440303.75
314,39019980,34635776,101.3,1074913313.64
