Trial,Enc_Latency_ns,Enc_RAM_Bytes,CPU_Percent,Enc_Throughput_bps
397,39371737,29466624,100.1,1065309767.77
398,39322700,29466624,99.7,1066638252.21
399,39318089,29466624,100.5,1066763341.42
400,39399034,29466624,100.3,1064571684.68
401,39281645,29466624,100.6,1067753043.44
402,39267904,29470720,100.6,1068126681.78
403,39465292,29470720,100.1,1062784382.79
404,39330867,29470720,100.5,1066416766.25
405,39315719,29470720,100.4,1066827647.23
406,39302811,29470720,100.2,1067178019.40
407,39402608,29470720,100.0,1064475123.07
408,39366941,29470720,100.0,1065439552.44
409,39277423,29470720,100.5,1067867818.11
410,39371274,29474816,100.1,1065322295.64
411,39284664,29474816,100.1,1067670987.33
412,39294293,29474816,100.5,1067409356.37
413,39345793,29474816,99.8,1066012216.35
414,39288497,29474816,100.5,1067566824.97
415,39291219,29474816,100.5,1067492866.54
416,39313367,29474816,100.5,1066891472.31
417,39276904,29474816,100.6,1067881928.78
418,39513551,29474816,100.0,1061486374.64
419,39361460,29474816,100.3,1065587912.64
420,39374478,29474816,100.4,1065235607.69
421,39343441,29474816,100.5,1066075943.89
422,39325552,29474816,100.5,1066560896.59
423,39292553,29474816,100.6,1067456624.67
424,39270016,29474816,100.6,1068069236.34
425,39417626,29474816,100.3,1064069561.17
426,39281571,29474816,100.6,1067755054.91
427,39297515,29474816,100.6,1067321839.56
428,39355534,29474816,100.4,1065748364.64
429,39395608,29474816,100.3,1064664264.10
430,39287941,29474816,100.6,1067581933.09
431,39249997,29474816,75.5,1068613992.51
432,39328719,29474816,100.5,1066475010.28
433,39253979,29474816,125.7,1068505590.22
434,39262423,29474816,100.7,1068275791.33
435,39260275,29474816,100.5,1068334238.62
436,39263108,29474816,100.5,1068257153.76
437,39270423,29474816,100.6,1068058166.83
438,39299849,29474816,100.6,1067258451.81
439,39282015,29474816,100.6,1067742986.20
440,39262015,29474816,100.7,1068286892.56
441,39290515,29474816,100.6,1067511993.67
442,39284886,29474816,100.6,1067664953.90
443,39295830,29474816,100.5,1067367606.18
444,39424200,29474816,100.2,1063892127.17
445,39342756,29474816,100.4,1066094505.43
446,39278849,29474816,100.6,1067829049.68
447,39284775,29474816,100.6,1067667970.61
448,39270682,29474816,100.6,1068051122.72
449,39248645,29474816,100.7,1068650803.10
450,39279756,29474816,100.6,1067804392.67
451,39426219,29474816,100.1,1063837645.70
452,39252053,29474816,75.4,1068558019.12
453,39352330,29478912,100.2,1065835136.06
454,39233516,29478912,100.6,1069062890.00
455,39397422,29478912,100.3,1064615243.10
456,39305571,29478912,100.5,1067103083.17
457,39276219,29478912,100.6,1067900553.26
458,39265663,29487104,100.6,1068187642.72
459,39434460,29487104,100.1,1063615325.28
460,39317145,29487104,100.5,1066788954.28
461,39273182,29487104,100.6,1067983134.14
462,39249331,29487104,100.7,1068632125.22
463,39290090,29487104,100.6,1067523540.92
464,39243997,29487104,100.7,1068777372.50
465,39238997,29487104,100.7,1068913560.66
466,39348052,29491200,100.4,1065951015.82
467,39235516,29491200,100.7,1069008395.35
468,39266330,29491200,100.6,1068169497.89
469,39365682,29491200,100.4,1065473627.51
470,39239960,29491200,100.7,1068887328.12
471,39336533,29491200,100.4,1066263160.51
472,39272330,29491200,100.5,1068006303.67
473,39250182,29491200,100.6,1068608955.75
474,39269293,29491200,100.6,1068088900.91
475,39267589,29491200,100.6,1068135250.17
476,39261626,29491200,100.6,1068297477.03
477,39243423,29491200,100.7,1068793005.14
478,39262812,29491200,100.6,1068265207.29
479,39334422,29491200,100.5,1066320384.73
480,39226404,29491200,100.8,1069256718.00
481,39413719,29491200,100.3,1064175040.17
482,39273201,29491200,100.6,1067982617.46
483,39257312,29491200,75.5,1068414872.62
484,39285922,29491200,100.6,1067636798.75
485,39343978,29491200,100.4,1066061393.18
486,39265404,29491200,100.6,1068194688.64
487,39257441,29491200,100.6,1068411361.81
488,39261367,29491200,125.7,1068304524.39
489,39244887,29491200,100.7,1068753134.64
490,39234146,29491200,100.6,1069045723.59
491,39265979,29491200,100.6,1068179046.29
492,39262608,29491200,100.6,1068270757.77
493,39253719,29491200,100.6,1068512667.55
494,39294719,29491200,100.5,1067397784.42
495,39342034,29495296,100.4,1066114070.26
496,39248423,29495296,100.7,1068656847.69
497,39362126,29495296,100.4,1065569883.09
498,39243331,29495296,100.7,1068795510.76
499,39232461,29495296,100.7,1069091638.17
500,39290886,29495296,100.6,1067501913.80
501,39240886,29495296,100.7,1068862104.69
502,39337849,29495296,100.4,1066227489.97
503,39272515,29495296,100.6,1068001272.65
504,39327664,29495296,100.5,1066503619.44
505,39238478,29495296,100.6,1068927698.98
506,39355238,29495296,100.4,1065756380.38
507,39393941,29495296,100.2,1064709316.59
508,39239052,29495296,75.4,1068912062.40
509,39306405,29495296,100.4,1067080441.47
510,39297738,29495296,100.6,1067315782.91
511,39254423,29495296,100.7,1068493504.54
512,39245349,29495296,100.7,1068740553.18
513,39285719,29495296,100.6,1067642315.52
514,39258330,29495296,100.6,1068387167.77
515,39259386,29495296,100.6,1068358430.26
516,39270108,29495296,100.6,1068066734.12
517,39251849,29495296,100.7,1068563572.64
518,39446645,29495296,100.2,1063286776.35
519,39276886,29495296,100.6,1067882418.17
520,39277163,29495296,100.6,1067874886.99
521,39359534,29495296,100.4,1065640055.60
522,39369737,29495296,100.4,1065363885.97
523,39260237,29495296,100.7,1068335272.66
524,39259942,29495296,100.6,1068343300.15
525,39248146,29495296,100.7,1068664389.91
526,39262645,29495296,100.5,1068269751.06
527,39234645,29495296,100.6,1069032127.09
528,39268737,29495296,100.6,1068104023.82
529,39324515,29495296,100.5,1066589022.14
530,39250442,29499392,100.7,1068601877.15
531,39278534,29499392,100.5,1067837613.29
532,39362200,29499392,100.4,1065567879.84
533,39288237,29499392,100.6,1067573889.86
534,39284904,29499392,75.4,1067664464.70
535,39268775,29499392,100.6,1068102990.23
536,39268405,29499392,100.6,1068113054.25
537,39245701,29499392,100.7,1068730967.50
538,39253812,29503488,100.6,1068510136.03
539,39283794,29503488,100.6,1067694632.55
540,39241146,29503488,100.7,1068855022.74
541,39282757,29503488,100.6,1067722817.93
542,39229220,29503488,100.7,1069179963.30
543,39298701,29503488,100.4,1067289628.73
544,39267812,29503488,100.5,1068129184.28
545,39239942,29503488,100.7,1068887818.44
546,39274830,29503488,100.6,1067938320.80
547,39406812,29503488,100.3,1064361562.67
548,39332830,29503488,100.4,1066363544.14
549,39273775,29503488,100.6,1067967008.52
550,39258052,29503488,100.6,1068394733.39
551,39267349,29503488,100.6,1068141778.56
552,39355330,29503488,100.4,1065753888.99
553,39254720,29503488,100.7,1068485420.35
554,39350201,29503488,100.4,1065892801.92
555,39238886,29503488,100.7,1068916584.43
556,39268589,29503488,100.6,1068108049.41
557,39255923,29503488,100.7,1068452676.56
558,39376552,29503488,100.4,1065179500.73
559,39272886,29503488,100.6,1067991183.54
560,39272479,29503488,100.6,1068002251.65
561,39238015,29503488,100.6,1068940312.09
562,39249979,29503488,100.6,1068614482.57
563,39250738,29503488,100.7,1068593818.54
564,39269201,29503488,100.6,1068091403.23
565,39248442,29503488,100.7,1068656330.36
566,39263590,29503488,100.6,1068244039.83
567,39241626,29503488,100.7,1068841948.60
568,39244849,29503488,100.7,1068754169.50
569,39264257,29503488,100.6,1068225893.08
570,39248164,29503488,100.7,1068663899.79
571,39250738,29503488,100.7,1068593818.54
572,39423497,29503488,100.2,1063911098.50
573,39257368,29503488,100.7,1068413348.55
574,39332368,29503488,100.5,1066376069.70
575,39264034,29503488,75.5,1068231960.07
576,39315442,29503488,100.5,1066835163.65
577,39251646,29503488,100.7,1068569098.99
578,39251257,29503488,100.6,1068579689.05
579,39242330,29503488,100.6,1068822773.78
580,39319126,29507584,100.4,1066735206.68
581,39271608,29507584,100.6,1068025938.74
582,39239349,29507584,100.7,1068903971.88
583,39297830,29507584,100.6,1067313284.22
584,39405255,29507584,100.3,1064403618.25
