Trial,Latency_ns,RAM_Bytes,CPU_Percent,Throughput_bps
165,158685000,34582528,94.3,264317156.63
166,158872688,34582528,100.4,264004899.32
167,158700415,34582528,100.5,264291482.79
168,158567273,34582528,100.6,264513396.78
169,158559828,34582528,100.6,264525816.72
170,158814480,34582528,100.5,264101661.26
171,159261720,34582528,100.2,263360008.92
172,159147677,34582528,100.2,263548729.02
173,158958420,34582528,100.3,263862511.97
174,158741808,34582528,100.5,264222567.00
175,160023899,34582528,99.7,262105649.61
176,160459140,34582528,99.4,261394695.25
177,159650829,34582528,99.9,262718134.71
178,159789529,34582528,99.9,262490090.95
179,158481511,34582528,100.7,264656537.76
180,157196031,34582528,101.5,266820782.52
181,158123073,34582528,94.6,265256468.93
182,158286623,34582528,100.8,264982392.10
183,158233952,34582528,100.8,265070596.23
184,159392906,34582528,100.1,263143254.32
185,158573262,34582528,100.6,264503406.63
186,158959035,34582528,106.7,263861491.11
187,158549649,34582528,100.6,264542799.46
188,158787002,34582528,94.2,264147363.90
189,158582707,34582528,100.6,264487653.12
190,159268085,34582528,100.2,263349483.98
191,158696441,34582528,100.5,264298101.05
192,158346894,34582528,100.7,264881532.82
193,157765771,34582528,101.1,265857211.83
194,159258248,34582528,100.2,263365750.45
195,157441244,34582528,101.3,266405212.09
196,158299546,34582528,94.5,264960759.90
197,159112109,34582528,100.3,263607642.84
198,159429543,34582528,100.0,263082783.85
199,158233794,34586624,100.8,265070860.91
200,157486344,34586624,101.3,266328920.56
201,159280345,34586624,100.2,263329213.66
202,157943947,34586624,101.0,265557299.26
203,159189322,34586624,100.2,263479782.90
204,159698419,34586624,99.9,262639844.92
205,160413127,34586624,99.5,261469673.86
206,159981221,34586624,99.7,262175571.22
207,158671316,34586624,94.3,264339951.65
208,158274542,34586624,100.8,265002618.05
209,157420485,34586624,101.3,266440342.88
210,158426299,34586624,100.7,264748771.29
211,158242821,34586624,100.8,265055739.87
212,158422095,34586624,100.7,264755796.85
213,157771801,34586624,101.1,265847050.83
214,159088779,34586624,100.3,263646300.28
215,159162172,34586624,94.0,263524727.47
216,159150048,34586624,100.2,263544802.70
217,160158038,34586624,99.6,261886125.25
218,158800612,34586624,100.5,264124725.16
219,158799852,34586624,100.4,264125989.24
220,158141539,34590720,107.2,265225495.24
221,159033795,34590720,100.3,263737452.78
222,159500618,34590720,100.0,262965551.64
223,159553677,34590720,100.0,262878103.40
224,159343086,34590720,100.1,263225528.34
225,158912144,34590720,100.4,263939350.03
226,157471137,34590720,95.0,266354639.96
227,159511098,34590720,100.0,262948274.61
228,157439880,34590720,101.3,266407520.13
229,158750894,34590720,100.5,264207444.40
230,157778278,34590720,94.8,265836137.47
231,160694089,34590720,105.5,261012513.04
232,159284659,34590720,100.2,263322081.76
233,157775629,34590720,94.8,265840600.77
234,159330130,34590720,100.1,263246932.64
235,157497853,34590720,101.3,266309458.83
236,158186446,34590720,100.9,265150201.30
237,157278521,34590720,101.4,266680839.40
238,159870877,34590720,99.8,262356526.64
239,159315555,34590720,100.1,263271015.82
240,159411975,34590720,100.1,263111776.89
241,158823632,34590720,100.4,264086442.75
242,159968149,34594816,99.7,262196995.23
243,158766238,34594816,94.2,264181910.01
244,159786838,34594816,99.8,262494511.59
245,158050199,34594816,100.9,265378773.74
246,159508228,34594816,100.0,262953005.78
247,159748914,34594816,99.8,262556827.15
248,158652142,34594816,100.5,264371898.62
249,159557881,34594816,100.0,262871177.14
250,159289785,34594816,100.2,263313607.96
251,159579437,34594816,100.0,262835668.48
252,159006780,34594816,100.3,263782261.36
253,158123591,34594816,100.9,265255599.97
254,159133630,34594816,100.3,263571992.92
255,159442413,34594816,100.0,263061548.12
256,157399029,34594816,101.3,266476662.95
257,158432666,34594816,100.7,264738131.72
258,157428143,34594816,101.3,266427382.05
259,157536830,34594816,101.3,266243569.84
260,157310750,34594816,95.1,266626203.23
261,160100508,34594816,99.7,261980230.57
262,159681438,34594816,99.9,262667774.82
263,158570220,34594816,100.6,264508480.85
264,159275905,34594816,100.2,263336554.26
265,158825512,34594816,100.4,264083316.79
266,159099120,34594816,100.3,263629164.01
267,158326985,34594816,100.8,264914840.64
268,159453110,34594816,100.1,263043900.49
269,158707404,34594816,100.5,264279844.18
270,156909040,34594816,101.7,267308805.15
271,159511740,34594816,100.0,262947216.30
272,158550620,34594816,100.6,264541179.34
273,160027272,34594816,99.7,262100125.03
274,159122665,34594816,94.0,263590155.43
275,159579070,34594816,100.0,262836272.95
276,158329899,34594816,100.8,264909964.98
277,159065623,34594816,100.3,263684680.63
278,159469433,34594816,100.0,263016975.80
279,158068793,34594816,100.9,265347556.62
280,158736715,34594816,100.5,264231044.47
281,158690711,34594816,100.5,264307644.32
282,158986642,34594816,100.3,263815673.27
283,159300481,34594816,100.1,263295928.15
284,159214586,34603008,100.2,263437974.21
285,160017617,34603008,99.7,262115939.40
286,159308729,34603008,100.1,263282296.35
287,158866547,34603008,100.4,264015104.45
288,159741614,34603008,99.9,262568825.68
289,158449792,34603008,100.7,264709517.57
290,159837362,34603008,99.8,262411538.05
291,158238838,34603008,100.8,265062411.54
292,158906186,34603008,94.1,263949246.13
293,159839350,34603008,106.0,262408274.31
294,158837144,34603008,94.2,264063977.38
295,157137921,34603008,101.5,266919453.52
296,157989152,34603008,101.0,265481316.08
297,160242593,34603008,99.6,261747936.14
298,158755738,34603008,100.5,264199382.83
299,158877913,34603008,100.4,263996217.02
300,159044890,34603008,100.3,263719054.41
301,156615407,34603008,101.9,267809973.51
302,157591815,34603008,94.9,266150675.40
303,159435058,34603008,100.1,263073683.58
304,159469762,34603008,100.0,263016433.17
305,158441851,34603008,100.7,264722784.64
306,159597475,34603008,100.0,262805962.31
307,157912514,34603008,101.0,265610159.31
308,160404630,34603008,99.5,261483524.51
309,159419378,34603008,100.1,263099558.70
310,159005253,34603008,100.3,263784794.58
311,158474324,34603008,100.7,264668540.25
312,160366245,34603008,99.5,261546112.77
313,158715583,34603008,100.5,264266225.20
314,158892781,34603008,94.1,263971514.23
315,160888957,34603008,105.4,260696375.82
