Trial,Latency_ns,RAM_Bytes,Throughput_bps
310,495403,13742080,1058306065.97
311,495791,13742080,1057477848.53
312,495365,13742080,1058387249.81
313,495421,13742080,1058267614.82
314,495476,13742080,1058150142.49
315,495421,13742080,1058267614.82
316,504087,13742080,1040074431.60
317,495606,13742080,1057872584.27
318,495736,13742080,1057595171.62
319,495644,13742080,1057791479.37
320,495570,13742080,1057949431.97
321,495477,13742080,1058148006.87
322,495458,13742080,1058188585.11
323,504699,13742080,1038813233.23
324,495921,13742080,1057200642.84
325,495791,13742080,1057477848.53
326,495476,13742080,1058150142.49
327,495477,13742080,1058148006.87
328,495532,13742080,1058030561.09
329,495496,13742080,1058107431.75
330,495736,13742080,1057595171.62
331,503495,13742080,1041297331.65
332,495625,13742080,1057832030.26
333,495699,13742080,1057674112.72
334,495755,13742080,1057554638.88
335,495384,13742080,1058346656.33
336,495476,13742080,1058150142.49
337,495588,13742080,1057911006.72
338,508273,13742080,1031508657.75
339,495606,13742080,1057872584.27
340,495588,13742080,1057911006.72
341,495551,13742080,1057989994.98
342,495347,13742080,1058425709.65
343,495699,13742080,1057674112.72
344,495607,13742080,1057870449.77
345,503643,13742080,1040991337.12
346,495755,13742080,1057554638.88
347,495495,13742080,1058109567.20
348,495699,13742080,1057674112.72
349,495699,13742080,1057674112.72
350,495940,13742080,1057160140.34
351,495625,13742080,1057832030.26
352,495606,13742080,1057872584.27
353,503421,13742080,1041450396.39
354,495810,13742080,1057437324.78
355,495532,13742080,1058030561.09
356,495718,13742080,1057633573.93
357,495643,13742080,1057793613.55
358,495495,13742080,1058109567.20
359,495458,13742080,1058188585.11
360,503347,13742080,1041603506.13
361,495717,13742080,1057635707.47
362,497106,13742080,1054680490.68
363,500144,13742080,1048274097.06
364,496328,13742080,1056333714.80
365,495588,13742080,1057911006.72
366,495255,13742080,1058622325.87
367,495699,13742080,1057674112.72
368,497013,13742080,1054877840.22
369,496087,13742080,1056846883.71
370,496069,13746176,1056885231.69
371,495828,13746176,1057398936.73
372,496106,13750272,1056806408.31
373,496014,13750272,1057002423.32
374,495810,13750272,1057437324.78
375,581828,13750272,901104793.86
376,499273,13750272,1050102849.54
377,496921,13750272,1055073140.40
378,496996,13750272,1054913922.85
379,496161,13750272,1056689260.14
380,495754,13750272,1057556772.11
381,495866,13750272,1057317904.43
382,509866,13750272,1028285863.34
383,496939,13750272,1055034923.80
384,495976,13750272,1057083407.26
385,495847,13750272,1057358419.03
386,495866,13750272,1057317904.43
387,495847,13750272,1057358419.03
388,495939,13750272,1057162271.97
389,508162,13750272,1031733974.60
390,496402,13750272,1056176244.25
391,495847,13750272,1057358419.03
392,495884,13750272,1057279525.05
393,495717,13750272,1057635707.47
394,495625,13750272,1057832030.26
395,495569,13750272,1057951566.78
396,495496,13750272,1058107431.75
397,505161,13750272,1037863176.29
398,496070,13750272,1056883101.18
399,495699,13750272,1057674112.72
400,495736,13750272,1057595171.62
401,495606,13750272,1057872584.27
402,495736,13750272,1057595171.62
403,495570,13750272,1057949431.97
404,504236,13750272,1039767093.19
405,496273,13750272,1056450784.15
406,495680,13750272,1057714654.62
407,495736,13750272,1057595171.62
408,495495,13750272,1058109567.20
409,495588,13750272,1057911006.72
410,495680,13750272,1057714654.62
411,504069,13750272,1040111572.03
412,496162,13750272,1056687130.41
413,495921,13750272,1057200642.84
414,495607,13750272,1057870449.77
415,495681,13750272,1057712520.75
416,495754,13750272,1057556772.11
417,495773,13750272,1057516242.31
418,495514,13750272,1058068995.02
419,505773,13750272,1036607331.75
420,495829,13750272,1057396804.14
421,495699,13750272,1057674112.72
422,495458,13750272,1058188585.11
423,495588,13750272,1057911006.72
424,496014,13750272,1057002423.32
425,495440,13750272,1058227030.52
426,541291,13750272,968588060.77
427,496161,13750272,1056689260.14
428,495717,13750272,1057635707.47
429,496292,13750272,1056410339.07
430,495680,13750272,1057714654.62
431,495366,13750272,1058385113.23
432,495755,13750272,1057554638.88
433,505125,13750272,1037937144.27
434,496847,13754368,1055230282.16
435,496291,13754368,1056412467.69
436,496421,13758464,1056135820.20
437,496384,13758464,1056214543.58
438,495421,13758464,1058267614.82
439,495755,13758464,1057554638.88
440,495699,13758464,1057674112.72
441,508421,13758464,1031208388.32
442,496069,13758464,1056885231.69
443,495717,13758464,1057635707.47
444,495922,13758464,1057198511.06
445,495625,13758464,1057832030.26
446,495329,13758464,1058464172.30
447,495940,13758464,1057160140.34
448,507828,13758464,1032412549.13
449,495940,13758464,1057160140.34
450,495606,13758464,1057872584.27
451,495384,13758464,1058346656.33
452,495643,13758464,1057793613.55
453,495662,13758464,1057753065.60
454,495587,13758464,1057913141.39
455,495514,13758464,1058068995.02
456,496347,13758464,1056293278.69
457,495551,13758464,1057989994.98
458,495699,13758464,1057674112.72
459,495402,13758464,1058308202.23
460,495458,13758464,1058188585.11
461,495717,13758464,1057635707.47
462,495680,13758464,1057714654.62
463,504606,13758464,1039004688.81
